Cluster Index	Voxels	P	-log10(P)	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
8	675	2.06e-29	28.7	7.15	-4.13	-53.3	21	-3.17	-40.4	39.1	342	-0.851	-53.3	21	139
7	660	6.01e-29	28.2	7.13	-10.7	55	-5.4	-5.73	49.6	13.5	433	-20.5	55	40.8	170
6	101	5.96e-07	6.22	6.45	25.4	2.52	-15.3	26.9	2.83	-18.6	360	32	12.4	-21.9	147
5	94	1.49e-06	5.83	4.93	-66.5	-10.6	-15.3	-58.4	-9.05	-20.6	227	-63.2	-10.6	-21.9	122
4	93	1.67e-06	5.78	6.39	-53.3	-63.1	21	-46.7	-65.6	27.7	348	-53.3	-72.9	34.2	147
3	76	1.88e-05	4.73	5.74	-27.1	5.8	-18.6	-26.6	-1.14	-17.1	340	-30.4	9.08	-18.6	139
2	48	0.00158	2.8	5.94	41.8	-4.04	-15.3	46	-8.75	-11.1	195	41.8	-0.76	-15.3	117
1	41	0.00539	2.27	5.58	38.5	-10.6	67.2	34.3	-10.8	58.9	206	35.2	-10.6	67.2	121
