Cluster Index	Voxels	P	-log10(P)	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
9	348	2.29e-17	16.6	5.73	38.5	-82.8	-8.7	27.3	-61.6	-16.1	270	35.2	-92.6	-8.7	101
8	95	2.92e-06	5.53	4.92	-40.2	-89.3	-8.7	-38.8	-88	-4.74	357	-50.1	-79.5	-5.4	180
7	93	3.76e-06	5.43	4.21	-0.851	25.5	37.5	0.217	25.3	48.1	177	2.43	18.9	47.4	107
6	84	1.25e-05	4.9	4.33	51.6	22.2	40.8	44.7	31.6	27.8	350	48.4	32	37.5	148
5	78	2.86e-05	4.54	4.09	35.2	-43.4	37.5	43.8	-46.3	47.4	240	35.2	-63.1	57.3	117
4	71	7.69e-05	4.11	4.32	41.8	18.9	50.7	36.2	11.6	55.2	237	48.4	18.9	50.7	116
3	63	0.000248	3.6	3.7	25.4	58.3	7.8	24	62.9	7.96	204	25.4	68.1	14.4	118
2	60	0.00039	3.41	5.17	-50.1	-33.6	50.7	-47.1	-34.3	48.1	246	-50.1	-40.1	57.3	117
1	52	0.00135	2.87	4.51	-43.5	-43.4	-28.5	-39.3	-58.6	-24.9	203	-40.2	-63.1	-21.9	117
