Cluster Index	Voxels	P	-log10(P)	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
9	752	3.19e-32	31.5	8.3	-4.13	58.3	-5.4	-6.24	47.5	10.9	377	-27.1	38.6	50.7	176
8	625	2.86e-28	27.5	9.66	-0.851	-66.4	27.6	-0.554	-46.6	30.5	330	-7.41	-56.5	27.6	143
7	333	6.03e-18	17.2	6.5	-66.5	-13.9	-5.4	-52.4	5.89	-16.3	306	-36.9	38.6	-12	145
6	178	3.44e-11	10.5	7.23	-59.9	-63.1	24.3	-48.1	-66.1	28.7	470	-53.3	-72.9	34.2	204
5	83	5.42e-06	5.27	5.7	68	-13.9	-2.1	56.4	-0.768	-17.8	199	58.2	-4.04	-18.6	122
4	81	7.27e-06	5.14	5.68	-23.8	-23.7	-15.3	-25.7	-17.2	-16.4	258	-23.8	-20.4	-15.3	114
3	56	0.000349	3.46	5.59	45.1	-59.8	24.3	50.5	-61.5	25.8	226	51.6	-72.9	30.9	118
2	48	0.00135	2.87	5.11	45.1	-76.2	-38.4	32.2	-82.2	-36.6	215	35.2	-82.8	-35.1	111
1	44	0.00274	2.56	7.38	28.7	-20.4	-15.3	25.8	-16.1	-19.4	278	25.4	-20.4	-15.3	123
