Cluster Index	Voxels	P	-log10(P)	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
9	7325	0	151	11.5	41.8	-66.4	-18.6	-0.366	-62.9	2.42	475	-33.7	-79.5	-18.6	105
8	516	2.85e-24	23.5	6.51	41.8	55	-2.1	41.6	35	22.8	291	54.9	15.6	37.5	93.9
7	243	5.76e-14	13.2	6.83	-46.8	35.3	34.2	-42	8.83	39.5	202	-33.7	-7.32	70.5	79.7
6	227	2.9e-13	12.5	4.33	12.3	-13.9	7.8	14.9	-13.6	3.53	105	12.3	-13.9	11.1	47
5	164	2.54e-10	9.6	4.29	5.71	-4.04	30.9	-1.42	-8.24	32.9	109	-0.851	-33.6	27.6	50.1
4	120	5.96e-08	7.22	6.17	41.8	25.5	-8.7	36.7	22.6	-0.318	203	45.1	18.9	-2.1	90.7
3	79	1.23e-05	4.91	5.22	-0.851	32	44.1	2.59	30.1	39.5	146	2.43	22.2	50.7	65.4
2	43	0.00382	2.42	4.09	61.5	-13.9	27.6	58.1	-17.1	21.8	112	64.8	-17.2	17.7	65
1	38	0.00944	2.03	5.07	-36.9	55	24.3	-37.8	54.9	12.9	132	-40.2	51.7	11.1	73.1
